track,date,race_no,post_position,post_position,entry,entry,distance_in_yards,distance_in_yards,race_type,race_type,todays_trainer,todays_trainer,todays_jockey,todays_jockey,horse_name,horse_name,predicted_res_final_time,predicted_res_finish_position,predicted_res_beaten_lengths,predicted_res_odds
SA ,20241229, 1, 1,0,,0,1320,0,S,4,BAFFERT BOB,0,HERNANDEZ JUAN J,0,WAY TOO SEXY,77,-0.736781959269139,47,-1.9831004553840694,-4.277352438254488
SA ,20241229, 1, 2,0,,0,1320,0,S,4,PAPAPRODROMOU GEORGE,0,KIMURA KAZUSHI,0,CYPRUS MOON,16,-0.6918100214814462,1,-1.406658787773428,-3.938314323787217
SA ,20241229, 1, 3,0,,0,1320,0,S,4,NEHF JAY,0,ESPINOZA V,0,WICKED DESIRE,79,-0.9469409123843848,67,0.16189725786617093,-1.8174741398339982
SA ,20241229, 1, 4,0,,0,1320,0,S,4,SHIRREFFS JOHN,0,ESPINOZA ASSAEL,0,CONSIDER HER LUCKY,13,-0.9027899252934182,56,0.18497157953801624,-2.1812405395377747
SA ,20241229, 1, 5,0,,0,1320,0,S,4,GLATT MARK,0,PRAT FLAVIEN,0,SKATINGTHROUGHLIFE,65,-0.8362123215230639,65,-2.567000999708925,-3.440528766728732
SA ,20241229, 1, 6,0,,0,1320,0,S,4,SHIRREFFS JOHN,0,SMITH M E,0,TAHITI ITI,71,-0.9490487873916837,68,-0.8896248265055838,-2.7270495705142643
SA ,20241229, 1, 7,0,,0,1320,0,S,4,GALLAGHER PATRICK,0,RISPOLI UMBERTO,0,SPANISH CARA,68,-0.6452790613796485,57,-0.5731616657001878,-2.961156073051224
SA ,20241229, 2, 1,0,,0,1320,0,AO,0,PERIBAN JORGE,0,CARMONA SERAFIN,0,PANUCO,52,-0.7615641227651123,41,-1.1657869076829024,-2.4144417405723893
SA ,20241229, 2, 2,0,,0,1320,0,AO,0,MIYADI STEVEN,0,FREY KYLE,0,ONE SMOKIN DUDE,51,-0.6444547285804778,11,-1.7299300803401767,-4.344307603984557
SA ,20241229, 2, 3,0,,0,1320,0,AO,0,MENDEZ LUIS,0,ESCOBEDO ADRIAN,0,SILVERADO STORM,63,-0.8792278245916753,13,-1.0711188679793717,-3.160192854926123
SA ,20241229, 2, 4,0,,0,1320,0,AO,0,GARCIA ANTONIO C,0,GUTIERREZ MARIO,0,IT'S A FACTOR,34,-0.982476118021657,52,-0.7826316717381,-2.4500212824627186
SA ,20241229, 2, 5,0,,0,1320,0,AO,0,MILLER PETER,0,HERNANDEZ JUAN J,0,STYLE CAT,70,-0.6783231165649485,38,-3.319212493592613,-4.533054463978734
SA ,20241229, 3, 1,0,,0,1430,1,C,1,MCCANNA TIM,0,ESPINOZA ASSAEL,0,EVERYDAYISSATURDAY,20,-0.6898331540326019,33,-2.2868105006945574,-3.1076678800528197
SA ,20241229, 3, 2,0,,0,1430,1,C,1,O'NEILL DOUG,0,MALDONADO E,0,FIFTH STREET,22,-0.5135956483453198,14,-2.4059320095782297,-4.097522692610718
SA ,20241229, 3, 3,0,,0,1430,1,C,1,GAINES CARLA,0,HERNANDEZ JUAN J,0,NASHOBA'S JOY,46,-0.5336393374953642,50,-1.4037360603536517,-3.0303060750909045
SA ,20241229, 3, 4,0,,0,1430,1,C,1,KRULJAC IAN,0,HERRERA DIEGO A,0,CODY BOY,12,-0.5794509541659834,27,-0.6176483064445203,-2.4858054179540785
SA ,20241229, 3, 5,0,,0,1430,1,C,1,KORINER BRIAN,0,PRAT FLAVIEN,0,BEE EYE GEE,5,-0.38782326161883773,30,-1.3747998963308232,-3.3056033230210664
SA ,20241229, 3, 6,0,,0,1430,1,C,1,SADLER JOHN W,0,LEZCANO ABEL,0,FORTY NINER GOLD,25,-0.7056074796279854,2,-2.2783582651794707,-4.208510533432204
SA ,20241229, 3, 7,0,,0,1430,1,C,1,HESS R B JR,0,RISPOLI UMBERTO,0,NAISMITH,45,-0.6483904429099834,16,-1.7912776225170748,-3.41623352189606
SA ,20241229, 3, 8,0,,0,1430,1,C,1,MARQUEZ ALFREDO P,0,FRANKO-ANGELES GEOVANNI,0,SMOOTH SALUTE,66,-0.6241217008769592,59,-0.4111353176436242,-2.4640063285681424
SA ,20241229, 3, 9,0,,0,1430,1,C,1,GAINES CARLA,0,GONZALEZ RICARDO,0,TIZZ A GOOD THING,76,-0.85184189481629,34,-1.5488392633811947,-2.8301006232495602
SA ,20241229, 3,10,0,,0,1430,1,C,1,DUTROW RICHARD E,0,DETTORI LANFRANCO,0,BUCKORTWO,8,-0.7622638124551426,39,-3.072275073471005,-2.4909543109203267
SA ,20241229, 3,11,0,,0,1430,1,C,1,BLACKER DANIEL,0,BERRIOS HECTOR ISAAC,0,SIMPLEXITY,64,-0.6548149837880355,53,-1.1416243425638353,-2.648610471241298
SA ,20241229, 4, 1,0,,0,1320,0,M,2,BRINKERHOFF VAL,0,FREY KYLE,0,AUDIBLE SILENCE,4,-0.7228876085507654,35,0.23636103195626934,-2.703638197728263
SA ,20241229, 4, 2,0,,0,1320,0,M,2,LEWIS CRAIG A,0,AYUSO ARMANDO,0,FIGHTING RING,23,-0.8583135037899867,69,-0.29292436359996155,-2.84112382726889
